Seconds,Load Cell,206 Ch1,206 Ch2,207 Ch1,207 Ch2,Actuator Enc,Mirror Enc
0.13999999999941792,122.33001708984375,-414106,-1071953,-105204,-838629,134.49061,89.23706000000001
0.2970000000059372,118.114013671875,-372246,-1072576,-86098,-804499,134.49061,89.23708
0.4370000000053551,114.23422241210938,-376713,-1067778,-70419,-791056,134.49060500000002,89.23709000000001
0.6090000000112923,109.85092163085938,-373789,-1043704,-47537,-769728,134.49060500000002,89.23709000000001
0.75,106.69110107421875,-354845,-1034164,-29493,-737677,134.49065000000002,89.23711
0.9060000000026776,102.7803955078125,-341089,-1045108,-11692,-700488,134.49063,89.237115
1.062000000005355,99.36892700195312,-348184,-1035968,2406,-683511,134.490645,89.237125
1.2180000000080327,95.12774658203125,-335905,-1020412,18850,-673492,134.49065000000002,89.23712
1.375,92.11016845703125,-309761,-984095,31863,-662264,134.490645,89.23715000000001
1.514999999999418,88.90652465820312,-318793,-975419,56293,-645152,134.490665,89.237155
1.6720000000059372,85.42222595214844,-298818,-939797,62842,-635021,134.49067000000002,89.23717
1.8280000000086147,82.694580078125,-272003,-925261,77176,-630899,134.49067000000002,89.237165
1.9840000000112923,79.80242919921875,-250854,-898014,97022,-628631,134.49068,89.23718000000001
2.139999999999418,75.57415771484375,-226816,-847695,144605,-531639,134.490685,89.237215
2.297000000005937,59.10247802734375,-174792,-781679,234297,-444463,134.490725,89.23726
2.4530000000086147,48.69561767578125,-160288,-721462,223745,-402337,134.49073,89.23727000000001
2.6090000000112923,47.771820068359375,-154420,-709540,228072,-419158,134.49072,89.23726500000001
2.764999999999418,47.054107666015625,-149053,-707818,230192,-434907,134.490745,89.23725
2.922000000005937,46.93959045410156,-150637,-711762,229862,-438608,134.490735,89.23726500000001
3.0780000000086147,46.95451354980469,-193395,-695313,221182,-417193,134.49074000000002,89.23727000000001
3.2340000000112923,47.28535461425781,-178270,-701588,217901,-389345,134.49073,89.23727000000001
3.4060000000026776,46.88677978515625,-139946,-721056,222808,-381678,134.490745,89.23727000000001
3.5780000000086147,46.62080383300781,-148953,-714939,211970,-375300,134.49074000000002,89.23727000000001
3.7340000000112923,46.710968017578125,-136818,-739026,209767,-396264,134.490745,89.23728000000001
3.9060000000026776,45.64530944824219,-139680,-720143,243783,-422387,134.490745,89.23727500000001
4.078000000008615,44.99737548828125,-89628,-710777,241120,-371673,134.490745,89.23727000000001
4.25,41.91404724121094,-119999,-630015,221260,-334111,134.49074000000002,89.23728000000001
4.4060000000026776,38.7711181640625,-118165,-572303,210469,-391088,134.49075000000002,89.2373
4.562000000005355,35.570526123046875,-61613,-488572,156764,-351603,134.490755,89.23731000000001
4.718000000008033,31.533782958984375,-80889,-338909,49064,-241974,134.490765,89.23732500000001
