Seconds,Load Cell,206 Ch1,206 Ch2,207 Ch1,207 Ch2,Actuator Enc,Mirror Enc
0.14100000000325963,-137.77767944335938,-675921,-558832,1881465,2092339,134.491465,89.23804500000001
0.2970000000059372,-142.91517639160156,-669702,-519100,1899844,2127875,134.49146000000002,89.23805
0.45300000000861473,-147.85409545898438,-648048,-505488,1928297,2183387,134.49145000000001,89.23808000000001
0.625,-153.5618896484375,-638015,-488839,1950198,2236742,134.49148000000002,89.23808500000001
0.7820000000065193,-158.57778930664062,-622332,-461453,1984174,2280062,134.49149500000001,89.238105
0.9380000000091968,-163.5821075439453,-598476,-430993,2013193,2325693,134.49149500000001,89.23813500000001
1.0940000000118744,-168.76637268066406,-585316,-386061,2031339,2376214,134.49150500000002,89.23815
1.235000000000582,-174.00538635253906,-576456,-343017,2046682,2407090,134.491535,89.23815
1.3910000000032596,-178.54762268066406,-555782,-331059,2079870,2434584,134.49152500000002,89.238185
1.5470000000059372,-184.23519897460938,-524690,-289225,2108716,2455325,134.491545,89.23820500000001
1.7030000000086147,-188.8833770751953,-514484,-251998,2118316,2506909,134.49155000000002,89.23821500000001
1.860000000000582,-193.7565460205078,-502087,-229611,2129871,2543323,134.49155000000002,89.238235
2.0160000000032596,-199.14576721191406,-472109,-214621,2154200,2562531,134.491575,89.23825000000001
2.172000000005937,-203.8646697998047,-453988,-175075,2170135,2584848,134.49158,89.23828
2.3280000000086147,-209.2183837890625,-419356,-144880,2193427,2616468,134.49159,89.23830000000001
2.485000000000582,-213.83999633789062,-403148,-103404,2203869,2656708,134.49159500000002,89.23830500000001
2.6410000000032596,-218.6200408935547,-371688,-74042,2222509,2679297,134.49160500000002,89.23833
2.7820000000065193,-223.93426513671875,-356824,-52978,2249813,2692283,134.49161500000002,89.23835000000001
2.9530000000086147,-228.293212890625,-331599,-16104,2271912,2713244,134.49161500000002,89.23838
3.110000000000582,-234.00872802734375,-308446,3726,2292440,2753981,134.491635,89.23839500000001
3.25,-238.6080322265625,-285793,23278,2300174,2790063,134.491645,89.23840000000001
3.422000000005937,-244.04110717773438,-252039,64737,2327069,2829416,134.491655,89.23843500000001
3.5780000000086147,-249.1549072265625,-240497,110475,2349141,2845362,134.49167,89.23844500000001
3.735000000000582,-254.57818603515625,-224089,121983,2365609,2863167,134.49168,89.23846
3.8910000000032596,-259.0529479980469,-206998,152494,2384153,2891871,134.49169500000002,89.23847500000001
4.047000000005937,-264.80242919921875,-176821,175096,2417542,2932775,134.49169500000002,89.23849000000001
4.203000000008615,-269.6191101074219,-143864,218531,2433681,2968458,134.49172000000002,89.23852000000001
4.360000000000582,-274.4306640625,-128651,265247,2445202,2981766,134.491725,89.23854
4.51600000000326,-279.2375793457031,-107381,293625,2476728,2961540,134.49174000000002,89.23856
4.672000000005937,-284.44696044921875,-85511,336645,2495102,2982842,134.49176,89.23857000000001
4.828000000008615,-289.587158203125,-44119,370620,2517580,3022917,134.491755,89.238585
4.985000000000582,-294.16107177734375,-23758,395111,2535043,3029949,134.49177,89.23861000000001
5.14100000000326,-298.8649597167969,4750,420822,2560795,3039843,134.49177,89.23863
5.282000000006519,-303.7807922363281,17106,476213,2578379,3091052,134.49178500000002,89.238645
5.438000000009197,-308.4704895019531,33735,492890,2593403,3125714,134.491805,89.23866500000001
5.594000000011874,-313.10211181640625,71423,511089,2618986,3143579,134.49181000000002,89.23868
5.75,-317.78338623046875,92285,530514,2640255,3164410,134.49181000000002,89.238695
5.907000000006519,-322.5032958984375,114057,563414,2661880,3175950,134.49183000000002,89.23871000000001
6.063000000009197,-328.4755859375,129344,584142,2691444,3214457,134.49184000000002,89.238725
6.219000000011874,-332.5050048828125,161749,606366,2718939,3242051,134.49184000000002,89.23874
6.375,-338.0531005859375,184143,646007,2731764,3259146,134.49185500000002,89.238775
6.547000000005937,-342.7408752441406,199463,664001,2764518,3281099,134.49187500000002,89.23877
6.719000000011874,-348.52587890625,245378,681460,2786657,3310313,134.49188500000002,89.23882
6.89100000000326,-353.3061828613281,266947,722255,2801743,3342449,134.49189,89.23882
7.047000000005937,-358.8597412109375,288287,760340,2834751,3380250,134.491895,89.23885000000001
7.219000000011874,-363.53533935546875,321726,779067,2854818,3419831,134.491905,89.23886
